t_rel_s,ts_ns,values
14.840,1779427890672569179,"[-0.0, -0.0, 20.0, 1.5235169625437556e-13]"
14.860,1779427890692527099,"[-0.0, -0.0, 20.0, 1.2188135971400588e-13]"
14.880,1779427890712529061,"[0.0, -0.0, 20.0, 9.750508641595199e-14]"
14.900,1779427890732682979,"[0.0, -0.0, 20.0, 7.80040704880143e-14]"
14.920,1779427890752504401,"[0.0, -0.0, 20.0, 6.240325503515873e-14]"
14.940,1779427890772708194,"[0.0, -0.0, 20.0, 4.992260402812698e-14]"
14.960,1779427890792514741,"[0.0, -0.0, 20.0, 3.99380845777543e-14]"
14.980,1779427890812546161,"[-0.0, -0.0, 20.0, 3.195046562932437e-14]"
15.000,1779427890832436707,"[-0.0, -0.0, 20.0, 2.5560374536338568e-14]"
15.020,1779427890852760081,"[-0.0, -0.0, 20.0, 2.0448298612631317e-14]"
15.041,1779427890872771668,"[-0.0, -0.0, 20.0, 1.6358638890105054e-14]"
15.060,1779427890892474967,"[0.0, -0.0, 20.0, 1.3086911450897222e-14]"
15.080,1779427890912525344,"[0.0, -0.0, 20.0, 1.0469528821904599e-14]"
15.100,1779427890932612763,"[0.0, -0.0, 20.0, 8.375623565743447e-15]"
15.120,1779427890952701349,"[0.0, -0.0, 20.0, 6.700498598484874e-15]"
15.140,1779427890972552812,"[0.0, -0.0, 20.0, 5.360398878787899e-15]"
15.160,1779427890992424400,"[0.0, -0.0, 20.0, 4.2883190183270244e-15]"
15.180,1779427891012663776,"[0.0, -0.0, 20.0, 3.430655384068209e-15]"
15.201,1779427891033024775,"[0.8269511461257935, -1.6092915534973145, 20.0, 2.744524180199625e-15]"
15.220,1779427891052558325,"[0.8272411227226257, -1.473730206489563, 20.0, 2.1956193018080527e-15]"
15.240,1779427891072568745,"[0.7167214751243591, -1.2768394947052002, 20.0, 1.7564955049739132e-15]"
15.260,1779427891092518791,"[0.1870444118976593, -1.2242766618728638, 20.0, 1.4051964251549543e-15]"
15.280,1779427891112612335,"[0.13515245914459229, -1.1623164415359497, 20.0, 1.1241571401239634e-15]"
15.300,1779427891132561214,"[0.10698840022087097, -1.0809144973754883, 20.0, 8.99325690923347e-16]"
15.321,1779427891153371374,"[0.09698856621980667, -0.9798851609230042, 20.0, 7.194605739145013e-16]"
15.340,1779427891172394514,"[-0.7523475289344788, -1.2424603700637817, 20.0, 5.755684697195129e-16]"
15.360,1779427891192468225,"[-0.781120240688324, -1.1837190389633179, 20.0, 4.60454733423963e-16]"
15.380,1779427891212419145,"[-0.7092133164405823, -1.0747504234313965, 20.0, 3.683638026210381e-16]"
15.400,1779427891232400982,"[-0.6602513790130615, -1.0546350479125977, 20.0, 2.946910473907864e-16]"
15.420,1779427891252428610,"[-0.7252930402755737, -1.0677703619003296, 20.0, 2.357528273247173e-16]"
15.441,1779427891272766859,"[-0.6726709008216858, -0.9903004169464111, 20.0, 1.8860227509466364e-16]"
15.460,1779427891292534616,"[-0.3189699947834015, -1.16791570186615, 20.0, 1.508818200757309e-16]"
15.480,1779427891312591993,"[-0.29894423484802246, -1.2106688022613525, 20.0, 1.207054507666288e-16]"
15.500,1779427891332446665,"[-0.28063714504241943, -1.1968148946762085, 20.0, 9.6564363260281e-17]"
15.520,1779427891352595041,"[-0.06142909824848175, -0.5035037994384766, 20.0, 7.725148928473582e-17]"
15.540,1779427891372531671,"[-0.040514715015888214, -0.5123051404953003, 20.0, 6.180119142778866e-17]"
15.560,1779427891392554049,"[-0.030095554888248444, -0.534209668636322, 20.0, 4.944095248048644e-17]"
15.580,1779427891412363804,"[-0.031874168664216995, -0.5657808184623718, 20.0, 3.955276264613364e-17]"
15.600,1779427891432447140,"[-0.0, -0.0, 20.0, 3.164220945516242e-17]"
15.620,1779427891452559059,"[-0.0, -0.0, 20.0, 2.5313768225874428e-17]"
15.640,1779427891472430938,"[-0.0, -0.0, 20.0, 2.0251014249827297e-17]"
15.660,1779427891492536732,"[-0.0, -0.0, 20.0, 1.6200812061606328e-17]"
15.680,1779427891512566110,"[-0.0, -0.0, 20.0, 1.296064882210445e-17]"
15.700,1779427891532616488,"[-0.0, -0.0, 20.0, 1.0368519553991927e-17]"
15.720,1779427891552609408,"[0.13752654194831848, -1.322195053100586, 20.0, 8.294815808629664e-18]"
15.740,1779427891572429663,"[0.1622018814086914, -1.1982147693634033, 20.0, 6.63585256418567e-18]"
15.760,1779427891592548582,"[0.16270607709884644, -1.0823050737380981, 20.0, 5.3086818031943524e-18]"
15.780,1779427891612529544,"[-0.26186031103134155, -1.4585314989089966, 20.0, 4.246945442555482e-18]"
15.800,1779427891632465006,"[-0.3016936182975769, -1.4305531978607178, 20.0, 3.3975564781214774e-18]"
15.820,1779427891652389677,"[-0.33643436431884766, -1.411679983139038, 20.0, 2.718045182497182e-18]"
15.840,1779427891672429555,"[-0.30427759885787964, -1.2767499685287476, 20.0, 2.1744361459977455e-18]"
15.860,1779427891692493349,"[-0.1524433195590973, -1.2021628618240356, 20.0, 1.739548834080135e-18]"
15.880,1779427891712434645,"[-0.15337103605270386, -1.2022960186004639, 20.0, 1.3916391499821694e-18]"
15.900,1779427891732517106,"[-0.1486535668373108, -1.1620686054229736, 20.0, 1.1133112786267049e-18]"
15.920,1779427891752604233,"[0.08027739822864532, -1.3213965892791748, 20.0, 8.906490435808792e-19]"
15.940,1779427891772550195,"[0.11969001591205597, -1.3438178300857544, 20.0, 7.125192141851881e-19]"
15.960,1779427891792417992,"[0.13386617600917816, -1.3102450370788574, 20.0, 5.700153816879081e-19]"
15.980,1779427891812641617,"[0.27225884795188904, -1.4011954069137573, 20.0, 4.560123156900841e-19]"
16.000,1779427891832569788,"[0.3254874646663666, -1.4320002794265747, 20.0, 3.6480983704243083e-19]"
16.020,1779427891852343669,"[0.37745097279548645, -1.4630593061447144, 20.0, 2.918478799737023e-19]"
16.040,1779427891872634669,"[0.3541777729988098, -1.372848629951477, 20.0, 2.334782936392042e-19]"
16.060,1779427891892578590,"[0.13969099521636963, -0.5841203331947327, 20.0, 1.867826426661816e-19]"
16.080,1779427891912496261,"[0.15149952471256256, -0.5832080245018005, 20.0, 1.4942610637812704e-19]"
16.100,1779427891932463514,"[0.1624351143836975, -0.6253054141998291, 20.0, 1.1954088510250163e-19]"
16.120,1779427891952655640,"[0.0, -0.0, 20.0, 9.563270937447101e-20]"
16.140,1779427891972640394,"[0.0, -0.0, 20.0, 7.650616749957681e-20]"
16.160,1779427891992571773,"[0.0, -0.0, 20.0, 6.120493529213116e-20]"
16.180,1779427892012388820,"[-0.0, -0.0, 20.0, 4.8963948233704924e-20]"
16.200,1779427892032584738,"[-0.0, -0.0, 20.0, 3.917115729449423e-20]"
16.220,1779427892052502992,"[-0.0, -0.0, 20.0, 3.133692648183024e-20]"
16.240,1779427892072459746,"[-0.0, -0.0, 20.0, 2.5069542154816472e-20]"
16.260,1779427892092646330,"[-0.0, -0.0, 20.0, 2.0055633723853177e-20]"
16.280,1779427892112582376,"[-0.0, -0.0, 20.0, 1.604450730219997e-20]"
16.300,1779427892132608546,"[-0.0, -0.0, 20.0, 1.2835605518642548e-20]"
16.320,1779427892152579883,"[-0.0, -0.0, 20.0, 1.0268484414914039e-20]"
16.340,1779427892172453221,"[-1.0610547065734863, -1.124008297920227, 20.0, 8.214787208813804e-21]"
16.360,1779427892192642722,"[-0.9600479602813721, -1.0015991926193237, 20.0, 6.571830009389113e-21]"
16.380,1779427892212480477,"[-0.32301822304725647, -1.440643548965454, 20.0, 5.257463845952577e-21]"
16.400,1779427892232620396,"[-0.24520573019981384, -1.397938847541809, 20.0, 4.205971076762062e-21]"
16.420,1779427892252519109,"[-0.15647350251674652, -1.4590486288070679, 20.0, 3.3647768614096495e-21]"
16.440,1779427892272447571,"[-0.1398027241230011, -1.303600788116455, 20.0, 2.6918216102967546e-21]"
16.460,1779427892292470532,"[0.11580193787813187, -2.4375009536743164, 20.0, 2.1534572882374037e-21]"
16.480,1779427892312466952,"[0.19556528329849243, -2.499225378036499, 20.0, 1.7227657902002446e-21]"
16.500,1779427892332429248,"[0.21996697783470154, -2.3977036476135254, 20.0, 1.3782126523550349e-21]"
16.520,1779427892352648207,"[0.14075590670108795, -1.0493468046188354, 20.0, 1.1025700612995104e-21]"
16.540,1779427892372572003,"[0.1764386147260666, -1.061122179031372, 20.0, 8.820560490396083e-22]"
16.560,1779427892392575714,"[0.19120478630065918, -1.0496268272399902, 20.0, 7.056448392316866e-22]"
16.580,1779427892412526343,"[0.20405350625514984, -0.9580227732658386, 20.0, 5.645158814827689e-22]"
16.600,1779427892432510222,"[0.23318545520305634, -0.964816689491272, 20.0, 4.516126950887955e-22]"
16.620,1779427892452633224,"[0.2624504864215851, -0.972193717956543, 20.0, 3.61290166168456e-22]"
16.640,1779427892472522312,"[0.2570390999317169, -0.9521483182907104, 20.0, 2.890321480808942e-22]"
16.660,1779427892492556940,"[0.015514553524553776, -0.16773870587348938, 20.0, 2.3122570836729576e-22]"
16.680,1779427892512607609,"[0.010701666586101055, -0.14552544057369232, 20.0, 1.8498056164512682e-22]"
16.700,1779427892532399573,"[0.017934847623109818, -0.24388505518436432, 20.0, 1.4798444931610145e-22]"
16.720,1779427892552668990,"[-0.0, -0.0, 20.0, 1.1838756197723606e-22]"
16.740,1779427892572377830,"[-0.0, -0.0, 20.0, 9.471005336832119e-23]"
16.761,1779427892592775287,"[-0.0, -0.0, 20.0, 7.576803890812461e-23]"
16.780,1779427892612288421,"[-0.0, -0.0, 20.0, 6.061443112649969e-23]"
