t_rel_s,ts_ns,values
38.536,1779427914367909671,"[0, 0]"
38.606,1779427914438683173,"[0, 0]"
38.675,1779427914507130954,"[0, 0]"
38.742,1779427914574065587,"[0, 0]"
38.798,1779427914630492182,"[0, 0]"
38.867,1779427914699631204,"[0, 0]"
38.933,1779427914764789317,"[0, 0]"
39.007,1779427914839550145,"[0, 0]"
39.073,1779427914905237335,"[0, 0]"
39.169,1779427915000767490,"[0, 0]"
39.198,1779427915029960922,"[0, 0]"
39.265,1779427915096977220,"[0, 0]"
39.333,1779427915165353835,"[0, 0]"
39.397,1779427915229481253,"[0, 0]"
39.470,1779427915301871735,"[0, 0]"
39.540,1779427915372371365,"[0, 0]"
39.603,1779427915434873636,"[0, 0]"
39.666,1779427915498301604,"[0, 0]"
39.742,1779427915574243250,"[0, 0]"
39.807,1779427915638855953,"[0, 0]"
39.870,1779427915702389003,"[0, 0]"
39.932,1779427915764719443,"[0, 0]"
40.005,1779427915837186924,"[0, 0]"
40.075,1779427915907013688,"[0, 0]"
40.132,1779427915964133858,"[0, 0]"
40.206,1779427916037860740,"[0, 0]"
40.265,1779427916097735377,"[0, 0]"
40.345,1779427916177352103,"[0, 0]"
40.410,1779427916242438176,"[0, 0]"
40.466,1779427916298047240,"[0, 0]"
40.530,1779427916362579152,"[0, 0]"
40.597,1779427916428940959,"[0, 0]"
40.664,1779427916496494792,"[0, 0]"
40.733,1779427916565531732,"[0, 0]"
40.802,1779427916634109886,"[0, 0]"
40.863,1779427916695608211,"[0, 0]"
40.941,1779427916773296170,"[0, 0]"
40.997,1779427916828897067,"[0, 0]"
41.071,1779427916903146318,"[0, 0]"
41.138,1779427916970762276,"[0, 0]"
41.209,1779427917041709901,"[0, 0]"
41.266,1779427917098152538,"[0, 0]"
41.340,1779427917172578245,"[0, 0]"
41.425,1779427917256980287,"[0, 0]"
41.464,1779427917296573549,"[0, 0]"
41.531,1779427917363098978,"[0, 0]"
41.608,1779427917440385317,"[0, 0]"
41.668,1779427917500608782,"[0, 0]"
41.741,1779427917573002473,"[0, 0]"
41.804,1779427917636246693,"[0, 0]"
41.863,1779427917695358922,"[0, 0]"
41.931,1779427917762867839,"[0, 0]"
42.001,1779427917832878934,"[0, 0]"
42.076,1779427917908020674,"[0, 0]"
42.131,1779427917963701279,"[0, 0]"
42.197,1779427918028801934,"[0, 0]"
42.294,1779427918126649352,"[0, 0]"
42.343,1779427918175545208,"[0, 0]"
42.398,1779427918230309907,"[0, 0]"
42.465,1779427918297414579,"[0, 0]"
42.532,1779427918363809344,"[0, 0]"
42.610,1779427918442082962,"[0, 0]"
42.664,1779427918496388875,"[0, 0]"
42.731,1779427918562792973,"[0, 0]"
42.797,1779427918629366818,"[0, 0]"
42.864,1779427918695974497,"[0, 0]"
42.958,1779427918790261876,"[0, 0]"
42.997,1779427918829045481,"[0, 0]"
43.064,1779427918896530482,"[0, 0]"
43.130,1779427918962574667,"[0, 0]"
43.208,1779427919040163168,"[0, 0]"
43.275,1779427919107002136,"[0, 0]"
43.339,1779427919170780682,"[0, 0]"
43.409,1779427919241304521,"[0, 0]"
43.463,1779427919295051608,"[0, 0]"
43.530,1779427919362072865,"[0, 0]"
43.608,1779427919439887405,"[0, 0]"
43.674,1779427919506308711,"[0, 0]"
43.737,1779427919569142561,"[0, 0]"
43.797,1779427919628765200,"[0, 0]"
43.874,1779427919706648573,"[0, 0]"
43.940,1779427919772548385,"[0, 0]"
44.008,1779427919839919638,"[0, 0]"
44.068,1779427919900646805,"[0, 0]"
44.130,1779427919961896050,"[0, 0]"
44.202,1779427920034578778,"[0, 0]"
44.273,1779427920105515028,"[0, 0]"
44.330,1779427920161783543,"[0, 0]"
44.406,1779427920238567054,"[0, 0]"
44.463,1779427920295535851,"[0, 0]"
44.540,1779427920372203572,"[0, 0]"
44.613,1779427920445151131,"[0, 0]"
44.670,1779427920502111762,"[0, 0]"
44.741,1779427920573270551,"[0, 0]"
44.800,1779427920631816954,"[0, 0]"
44.863,1779427920695701082,"[0, 0]"
44.946,1779427920778484395,"[0, 0]"
45.008,1779427920839915929,"[0, 0]"
45.069,1779427920900786886,"[0, 0]"
45.137,1779427920968977712,"[0, 0]"
45.209,1779427921041752606,"[0, 0]"
45.265,1779427921097289046,"[0, 0]"
45.330,1779427921162708281,"[0, 0]"
45.404,1779427921236352622,"[0, 0]"
45.466,1779427921298597605,"[0, 0]"
45.530,1779427921362433609,"[0, 0]"
45.598,1779427921430294230,"[0, 0]"
45.667,1779427921499689041,"[0, 0]"
45.735,1779427921566975711,"[0, 0]"
45.799,1779427921631521915,"[0, 0]"
