t_rel_s,ts_ns,value
42.531,1779427918363690345,nan
42.610,1779427918441966880,nan
42.664,1779427918496283585,nan
42.730,1779427918562716557,nan
42.797,1779427918629224195,nan
42.864,1779427918695793083,nan
42.958,1779427918790084253,nan
42.997,1779427918828926774,nan
43.064,1779427918896411775,nan
43.130,1779427918962527709,nan
43.208,1779427919040023462,nan
43.275,1779427919106949345,nan
43.338,1779427919170598393,nan
43.409,1779427919240939942,nan
43.463,1779427919294992692,nan
43.530,1779427919361989741,nan
43.607,1779427919439745073,nan
43.674,1779427919506261170,nan
43.737,1779427919569018896,nan
43.796,1779427919628555495,nan
43.874,1779427919706519950,nan
43.940,1779427919772457386,nan
44.008,1779427919839856930,nan
44.068,1779427919900274935,nan
44.130,1779427919961829259,nan
44.202,1779427920034557195,nan
44.273,1779427920105281115,nan
44.329,1779427920161498005,nan
44.406,1779427920238388265,nan
44.463,1779427920295332562,nan
44.540,1779427920371967617,nan
44.613,1779427920444980800,nan
44.670,1779427920501993930,nan
44.741,1779427920573162344,nan
44.799,1779427920631727413,nan
44.863,1779427920695587042,nan
44.946,1779427920778305314,nan
45.008,1779427920839812097,nan
45.068,1779427920900654179,nan
45.137,1779427920968845588,nan
45.209,1779427921041673857,nan
45.265,1779427921097181714,nan
45.330,1779427921162623115,nan
45.404,1779427921236252582,nan
45.466,1779427921298491439,nan
45.530,1779427921362358360,nan
45.598,1779427921430171148,nan
45.667,1779427921499511710,nan
45.735,1779427921566880046,nan
45.799,1779427921631388333,nan
45.874,1779427921706625155,nan
45.941,1779427921773319458,nan
46.026,1779427921858079371,nan
46.075,1779427921906919518,nan
46.130,1779427921962684330,nan
46.207,1779427922039450342,nan
46.265,1779427922097476418,nan
46.330,1779427922162096996,nan
46.400,1779427922232394795,nan
46.465,1779427922296797793,nan
46.543,1779427922375665528,nan
46.609,1779427922441498841,nan
46.667,1779427922498977466,nan
46.733,1779427922565219690,nan
46.800,1779427922631850410,nan
46.873,1779427922705691624,nan
46.935,1779427922767252949,nan
47.002,1779427922833902626,nan
47.074,1779427922906054820,nan
47.156,1779427922988250431,nan
47.204,1779427923036299880,nan
47.266,1779427923098449197,nan
47.332,1779427923164145428,nan
47.399,1779427923230970104,nan
47.465,1779427923297064164,nan
47.538,1779427923369909724,nan
47.600,1779427923432264663,nan
47.670,1779427923501860430,nan
47.741,1779427923572981011,nan
47.802,1779427923633819010,nan
47.870,1779427923701864879,nan
47.931,1779427923763402287,nan
47.997,1779427923829421098,nan
48.067,1779427923899662898,nan
48.137,1779427923968984793,nan
48.207,1779427924039734962,nan
48.267,1779427924099478934,nan
48.339,1779427924171208216,nan
48.405,1779427924237256193,nan
48.468,1779427924299960252,nan
48.539,1779427924371214999,nan
48.609,1779427924441099512,nan
48.668,1779427924500535487,nan
48.738,1779427924570076713,nan
48.804,1779427924635977400,nan
48.865,1779427924697034730,nan
48.933,1779427924764779894,nan
49.004,1779427924836565467,nan
49.067,1779427924899204195,nan
49.130,1779427924962257084,nan
49.198,1779427925030526075,nan
49.278,1779427925109822555,nan
49.343,1779427925175631952,nan
49.401,1779427925233098326,nan
49.467,1779427925299307885,nan
49.533,1779427925365167156,nan
49.603,1779427925434826172,nan
49.675,1779427925507534275,nan
49.740,1779427925571903148,nan
49.798,1779427925630041222,nan
49.892,1779427925723894606,nan
49.942,1779427925774089821,nan
50.002,1779427925834226079,nan
50.074,1779427925905806321,nan
50.138,1779427925970208735,nan
50.207,1779427926039701836,nan
50.275,1779427926107561041,nan
50.338,1779427926170363391,nan
50.413,1779427926245425215,nan
50.469,1779427926301557523,nan
50.537,1779427926369129440,nan
50.606,1779427926438352169,nan
50.691,1779427926523538494,nan
50.742,1779427926574031496,nan
50.802,1779427926634362585,nan
50.869,1779427926701637297,nan
50.935,1779427926767745357,nan
51.005,1779427926837009502,nan
51.065,1779427926897213426,nan
51.135,1779427926967640433,nan
51.211,1779427927043158126,nan
51.268,1779427927099797928,nan
51.341,1779427927173638267,nan
51.408,1779427927239929491,nan
51.476,1779427927308480812,nan
51.545,1779427927377403129,nan
51.609,1779427927441346757,nan
51.670,1779427927502069549,nan
51.742,1779427927574273659,nan
51.807,1779427927639374898,nan
51.871,1779427927703397566,nan
51.944,1779427927776222043,nan
52.007,1779427927839685302,nan
52.073,1779427927905392616,nan
52.137,1779427927968971082,nan
52.209,1779427928041046277,nan
52.274,1779427928106368888,nan
52.340,1779427928172387115,nan
52.408,1779427928240429484,nan
52.469,1779427928301299275,nan
52.536,1779427928368221658,nan
52.607,1779427928439181824,nan
52.676,1779427928508623010,nan
52.736,1779427928568293190,nan
52.805,1779427928637397505,nan
52.872,1779427928704304138,nan
52.942,1779427928773788197,nan
53.002,1779427928834328117,nan
53.078,1779427928909796228,nan
53.143,1779427928975354503,nan
53.208,1779427929040412575,nan
53.274,1779427929106492635,nan
53.358,1779427929190562765,nan
53.410,1779427929241772092,nan
53.476,1779427929308002942,nan
53.538,1779427929370107926,nan
53.602,1779427929434003429,nan
53.674,1779427929506568618,nan
53.741,1779427929572901841,nan
53.803,1779427929635188531,nan
53.876,1779427929708323629,nan
